@relation 'ant-weka.filters.unsupervised.attribute.Remove-V-R10,22,26-27,29,33,52,54,94,108,119,140-141,183,193,232,288,337,381,442,444,452,459,462,465,511,521,527,534,541,549,565,576,598,603,614,625,653,663,667,674,692,714,737,746,760,777,788,799,818,894,909,925-926,931,935,972,979,991,1011-1012,1014,1044,1059,1065,1082,1181,1192,1217-1218,1300,1384-1385,1533,1571,1604,1668,1774,1781,1819,1842,1853,1876,2012,2015,2022,2042,2067,2075,2119,2332,2383,2428,2433,2465,2467,2472,2498,2510,2514,2613,2833,3105,3173,3191,3561-3562,4085,4108,4292,4920,4960,4981,5307,5598,5605,5758,6341,7318,7370-7371,8003,8415,8574,9949,10164,10850,10886,13361,19572'

@attribute CountDeclClassMethod numeric
@attribute CountLineCode numeric
@attribute CountSemicolon numeric
@attribute CountStmt numeric
@attribute CountStmtExe numeric
@attribute MaxNesting numeric
@attribute Efficiency numeric
@attribute Hierarchy numeric
@attribute s23 numeric
@attribute s37 numeric
@attribute s48 numeric
@attribute s69 numeric
@attribute s70 numeric
@attribute s112 numeric
@attribute s122 numeric
@attribute s161 numeric
@attribute s217 numeric
@attribute s266 numeric
@attribute s310 numeric
@attribute s371 numeric
@attribute s373 numeric
@attribute s381 numeric
@attribute s388 numeric
@attribute s391 numeric
@attribute s394 numeric
@attribute s440 numeric
@attribute s450 numeric
@attribute s456 numeric
@attribute s463 numeric
@attribute s470 numeric
@attribute s478 numeric
@attribute s494 numeric
@attribute s505 numeric
@attribute s527 numeric
@attribute s532 numeric
@attribute s543 numeric
@attribute s554 numeric
@attribute s582 numeric
@attribute s592 numeric
@attribute s596 numeric
@attribute s603 numeric
@attribute s621 numeric
@attribute s643 numeric
@attribute s666 numeric
@attribute s675 numeric
@attribute s689 numeric
@attribute s706 numeric
@attribute s717 numeric
@attribute s728 numeric
@attribute s747 numeric
@attribute s823 numeric
@attribute s838 numeric
@attribute s854 numeric
@attribute s855 numeric
@attribute s860 numeric
@attribute s864 numeric
@attribute s901 numeric
@attribute s908 numeric
@attribute s920 numeric
@attribute s940 numeric
@attribute s941 numeric
@attribute s943 numeric
@attribute s973 numeric
@attribute s988 numeric
@attribute s994 numeric
@attribute s1011 numeric
@attribute s1110 numeric
@attribute s1121 numeric
@attribute s1146 numeric
@attribute s1147 numeric
@attribute s1229 numeric
@attribute s1313 numeric
@attribute s1314 numeric
@attribute s1462 numeric
@attribute s1500 numeric
@attribute s1533 numeric
@attribute s1597 numeric
@attribute s1703 numeric
@attribute s1710 numeric
@attribute s1748 numeric
@attribute s1771 numeric
@attribute s1782 numeric
@attribute s1805 numeric
@attribute s1941 numeric
@attribute s1944 numeric
@attribute s1951 numeric
@attribute s1971 numeric
@attribute s1996 numeric
@attribute s2004 numeric
@attribute s2048 numeric
@attribute s2261 numeric
@attribute s2312 numeric
@attribute s2357 numeric
@attribute s2362 numeric
@attribute s2394 numeric
@attribute s2396 numeric
@attribute s2401 numeric
@attribute s2427 numeric
@attribute s2439 numeric
@attribute s2443 numeric
@attribute s2542 numeric
@attribute s2762 numeric
@attribute s3034 numeric
@attribute s3102 numeric
@attribute s3120 numeric
@attribute s3490 numeric
@attribute s3491 numeric
@attribute s4014 numeric
@attribute s4037 numeric
@attribute s4221 numeric
@attribute s4849 numeric
@attribute s4889 numeric
@attribute s4910 numeric
@attribute s5236 numeric
@attribute s5527 numeric
@attribute s5534 numeric
@attribute s5687 numeric
@attribute s6270 numeric
@attribute s7247 numeric
@attribute s7299 numeric
@attribute s7300 numeric
@attribute s7932 numeric
@attribute s8344 numeric
@attribute s8503 numeric
@attribute s9878 numeric
@attribute s10093 numeric
@attribute s10779 numeric
@attribute s10815 numeric
@attribute s13290 numeric
@attribute change_prone {false,true}

@data
0,341,165,245,147,4,0.711097,0.060855,17,36,0,0,59,6,2,0,0,18,1,3,2,6,6,69,11,7,13,0,0,0,0,0,2,3,0,0,0,3,0,0,0,6,0,1,3,0,0,2,1,0,0,1,6,0,0,3,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
8,660,298,445,283,4,0.860422,0.239319,50,63,0,4,91,1,10,2,1,48,1,6,14,31,5,148,9,21,19,22,0,0,0,5,13,5,1,0,4,4,0,2,0,6,1,7,7,0,0,1,1,0,0,0,13,0,0,3,1,6,0,1,1,0,1,0,3,0,0,0,0,0,0,8,2,0,0,1,0,5,0,1,0,2,0,0,0,0,7,0,0,0,0,0,2,2,0,0,1,0,0,0,6,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,240,126,171,88,5,0.815,0.011398,7,6,0,4,23,0,0,0,1,4,0,4,5,14,2,58,5,3,4,0,2,0,0,0,0,2,2,0,0,3,0,0,0,0,1,0,6,0,0,0,0,1,0,0,5,5,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,4,0,3,13,6,1,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,214,102,150,82,3,0.710938,0.012101,7,13,0,0,22,0,0,0,1,6,0,1,5,12,0,43,1,2,1,0,2,0,0,0,2,1,1,2,0,2,0,0,0,0,0,1,5,0,0,1,2,2,2,0,7,0,0,1,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,true
2,558,262,366,232,4,0.77551,0.021157,31,30,0,3,56,0,0,0,0,15,0,1,12,11,6,113,11,14,11,1,3,0,0,0,1,5,1,2,5,3,0,0,0,3,0,3,0,0,0,0,0,0,6,1,11,2,4,4,2,4,0,1,1,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,4,1,1,0,1,0,0,0,3,4,1,6,19,0,0,1,7,2,0,0,6,0,23,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,1293,576,875,515,7,0.778828,0.003161,34,159,0,13,127,1,5,0,0,39,1,3,7,32,6,238,13,3,17,1,0,0,2,16,4,11,2,0,0,8,0,1,0,5,5,1,3,9,4,1,1,3,4,8,28,15,11,3,4,8,1,1,1,0,6,0,1,0,0,0,0,3,0,31,1,5,0,0,0,7,0,0,0,0,0,0,0,0,2,12,1,0,0,0,10,5,10,0,1,3,0,0,2,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,true
0,8,4,6,1,0,1,0,4,3,0,0,6,0,0,0,0,0,0,3,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,178,79,126,51,3,0.909652,0.109604,8,15,0,1,39,0,0,0,0,11,0,2,1,4,4,4,6,0,3,2,0,0,0,0,1,1,0,0,0,0,0,3,0,1,1,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,false
0,250,109,156,95,5,0.565972,0.00675,4,10,0,6,44,0,0,0,2,7,0,1,4,11,0,49,1,2,1,0,0,0,0,0,0,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,94,38,62,38,2,0.44898,0.000615,7,6,0,0,20,0,2,0,0,0,0,3,2,7,1,7,3,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,329,142,219,129,5,0.573964,0.024856,10,25,0,1,51,0,0,0,1,11,22,4,4,4,0,51,7,5,8,0,3,0,0,0,4,5,0,0,0,0,0,0,0,7,2,0,0,0,0,1,0,0,1,0,8,3,1,3,0,1,1,0,0,0,0,0,4,1,0,0,0,3,0,6,1,0,28,0,0,0,1,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,true
0,445,229,327,177,3,0.691358,0.00021,30,34,0,6,46,9,0,1,1,24,11,3,13,21,0,100,3,13,1,0,0,0,0,4,1,2,2,5,0,7,10,0,0,0,0,0,6,7,0,0,0,0,0,1,0,0,1,4,1,4,0,2,1,1,0,2,4,0,0,6,3,0,0,5,1,0,6,0,0,0,0,0,0,1,0,0,0,9,3,0,0,7,0,0,1,13,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,true
0,347,154,234,117,4,0.810277,0.035415,13,24,0,1,79,1,5,4,0,29,0,10,2,13,0,62,5,2,5,1,0,0,0,0,3,6,0,0,0,4,0,1,0,4,0,0,3,0,1,0,1,2,0,3,11,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,5,0,3,0,0,0,5,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,42,21,31,11,1,0.527778,0.000452,6,5,0,0,13,0,0,0,0,1,0,4,1,5,0,10,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,149,68,97,47,2,0.801038,0.003569,2,8,0,4,321,0,0,0,1,7,0,1,1,9,1,27,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,579,263,397,233,5,0.839902,0.040684,26,44,2,2,89,6,0,1,1,29,2,3,1,11,6,114,25,16,28,0,0,0,0,0,6,4,12,0,0,3,0,0,0,6,1,0,4,0,0,2,1,1,2,2,18,8,7,1,0,0,0,3,1,0,0,2,2,0,2,0,0,0,0,7,1,0,0,1,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,true
1,365,174,257,145,5,0.636364,0.009996,10,27,0,1,167,0,7,0,0,30,17,1,2,9,0,87,2,1,2,0,0,0,0,0,1,5,0,0,0,4,1,0,0,0,5,0,3,0,0,0,0,3,1,0,20,4,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,false
3,101,30,50,36,3,0.677734,0.073608,5,10,0,0,14,0,0,0,0,14,0,3,0,4,1,5,1,2,1,0,0,0,0,3,1,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,395,196,265,178,5,0.7272,0.082359,9,11,0,4,28,0,0,0,0,20,0,4,4,13,9,61,10,0,11,0,0,0,0,5,1,2,0,1,0,2,0,0,0,11,0,1,4,0,0,6,0,0,1,1,2,0,0,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,true
0,46,24,30,14,1,0.524793,0.002596,4,3,0,1,8,0,0,0,0,3,0,3,2,6,0,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,46,25,34,15,4,0.64,0.000025,3,3,0,0,5,0,0,0,0,4,0,1,1,3,0,12,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
5,127,61,92,48,3,0.897765,0.104829,4,4,0,0,10,0,1,1,0,6,0,1,0,6,0,46,6,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,67,32,47,17,3,0.632653,0.010067,7,12,0,0,8,0,0,0,0,3,0,3,7,5,2,15,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,296,161,216,111,4,0.765,0.000899,9,2,0,3,41,0,0,0,0,15,32,1,9,8,1,57,4,5,6,0,0,0,0,0,3,1,2,1,2,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,17,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,false
2,344,165,243,134,3,0.791667,0.008979,13,9,0,0,31,0,0,0,1,13,13,1,6,9,0,86,2,10,2,0,0,0,0,0,4,1,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,280,149,202,130,6,0.739583,0.008077,14,11,0,2,40,2,0,0,0,3,2,8,13,10,2,72,1,2,2,0,0,0,0,2,0,2,1,2,0,2,0,0,0,0,0,0,6,5,0,1,0,0,1,0,0,11,0,1,1,4,0,1,0,0,0,2,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,8,2,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,true
0,42,20,31,11,0,0.539063,0.001449,3,4,0,0,12,0,0,0,0,3,1,1,1,2,0,8,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,318,181,239,120,3,0.693878,0.024544,6,17,7,2,29,1,0,0,0,10,2,3,9,6,2,66,7,9,7,0,5,0,0,0,2,0,0,0,0,2,1,0,0,4,0,0,4,0,0,2,1,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,true
