@relation 'lucene-weka.filters.unsupervised.attribute.Remove-V-R9,20,24,42,47,60-61,63,65-66,113,118,121,150,179,273,328,350,385,389,410,488,499,519,542,640,659,831,834,867,984,1018,1103,1778,1781,1810,1837,1853,1860,1908,1926,1945,1948,1973,1982,2009,2211,2271,2278,2306,2325,2711,3020,3037,3105,3195,3227,4368,4407,5048,6297,6488,7039,7045,7560,7647,7839,7860,8050,8061,8116,8202,8432,11617,11905,11975,15261'

@attribute CountDeclClass numeric
@attribute CountLine numeric
@attribute CountLineCodeExe numeric
@attribute Density numeric
@attribute Broker numeric
@attribute outFarness numeric
@attribute inCloseness numeric
@attribute Eigenvec numeric
@attribute Betweenness numeric
@attribute nBetweenness numeric
@attribute s42 numeric
@attribute s47 numeric
@attribute s50 numeric
@attribute s79 numeric
@attribute s108 numeric
@attribute s202 numeric
@attribute s257 numeric
@attribute s279 numeric
@attribute s314 numeric
@attribute s318 numeric
@attribute s339 numeric
@attribute s417 numeric
@attribute s428 numeric
@attribute s448 numeric
@attribute s471 numeric
@attribute s569 numeric
@attribute s588 numeric
@attribute s760 numeric
@attribute s763 numeric
@attribute s796 numeric
@attribute s913 numeric
@attribute s947 numeric
@attribute s1032 numeric
@attribute s1707 numeric
@attribute s1710 numeric
@attribute s1739 numeric
@attribute s1766 numeric
@attribute s1782 numeric
@attribute s1789 numeric
@attribute s1837 numeric
@attribute s1855 numeric
@attribute s1874 numeric
@attribute s1877 numeric
@attribute s1902 numeric
@attribute s1911 numeric
@attribute s1938 numeric
@attribute s2140 numeric
@attribute s2200 numeric
@attribute s2207 numeric
@attribute s2235 numeric
@attribute s2254 numeric
@attribute s2640 numeric
@attribute s2949 numeric
@attribute s2966 numeric
@attribute s3034 numeric
@attribute s3124 numeric
@attribute s3156 numeric
@attribute s4297 numeric
@attribute s4336 numeric
@attribute s4977 numeric
@attribute s6226 numeric
@attribute s6417 numeric
@attribute s6968 numeric
@attribute s6974 numeric
@attribute s7489 numeric
@attribute s7576 numeric
@attribute s7768 numeric
@attribute s7789 numeric
@attribute s7979 numeric
@attribute s7990 numeric
@attribute s8045 numeric
@attribute s8131 numeric
@attribute s8361 numeric
@attribute s11546 numeric
@attribute s11834 numeric
@attribute s11904 numeric
@attribute change_prone {false,true}

@data
1,168,62,20,12,891272,0.100704,0.003276,10.058644,0.001003,4,0,3,1,2,1,0,0,1,8,3,2,0,1,0,0,0,34,1,0,2,13,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,false
1,92,25,20,36,1003002,0.117568,0.012905,4.094877,0.000408,1,0,1,1,0,0,7,0,0,1,4,2,0,0,0,0,0,11,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,177,68,20,36,890069,0.117547,0.007592,154.666672,0.01542,2,0,3,3,6,1,6,0,0,7,5,4,0,0,0,1,0,42,1,8,1,9,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,193,76,23.611111,27.5,889069,0.117292,0.008967,230.204758,0.022952,9,0,1,1,9,1,2,0,0,32,7,2,0,0,0,1,0,83,0,6,4,25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,189,78,25,27,891068,0.13078,0.02003,4.633583,0.000462,2,0,2,1,0,0,7,0,2,19,5,0,0,0,0,0,0,38,2,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,321,103,13.230769,282,893093,0.22643,0.027851,697.828857,0.069574,4,0,2,1,0,0,18,0,0,8,11,1,0,0,0,0,0,46,0,6,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,322,141,15.384615,66,893155,0.226405,0.010149,1397.053345,0.139287,4,0,3,1,0,0,0,0,0,40,5,1,0,1,0,0,0,98,0,18,8,24,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,4,0,0,0,18,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,true
4,472,206,17.916666,98.5,892990,0.226623,0.032743,915.153503,0.091241,12,0,1,1,0,1,38,0,4,63,1,0,0,1,7,0,0,87,2,32,19,22,0,0,1,14,0,15,0,0,2,0,0,3,0,0,0,0,10,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
3,220,64,26.190475,15.5,892069,0.116067,0.017471,2.283766,0.000228,11,0,1,1,0,0,16,0,0,23,1,0,0,0,0,0,0,21,0,11,4,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,638,270,11.614402,761,892956,0.226688,0.0565,10389.9082,1.035881,8,0,4,1,0,1,23,0,5,25,10,4,0,1,4,0,0,114,0,41,2,48,0,0,0,1,0,13,1,0,3,0,0,2,0,0,0,0,16,3,0,0,0,0,7,0,0,0,281,0,0,3,0,0,20,0,0,0,0,0,0,0,0,17,2,0,true
1,181,80,14.705882,116,893047,0.226403,0.016425,1710.807617,0.170569,1,0,1,1,0,0,8,0,2,28,1,1,0,0,0,0,0,73,1,10,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,false
1,221,98,23.611111,27.5,893162,0.226403,0.014395,557.849976,0.055618,2,0,3,1,0,1,5,0,9,18,1,0,0,1,0,0,0,32,0,12,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,4,0,9,28,0,0,4,0,0,0,0,0,0,0,0,2,0,0,true
3,260,65,24.444445,34,996993,0.227142,0.01676,151.94133,0.015149,2,0,4,1,1,0,22,0,2,16,3,0,0,0,0,0,0,27,0,19,1,9,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
4,620,206,5.647841,852,893044,0.226733,0.050535,4443.108887,0.442981,5,0,8,1,4,1,39,0,1,15,7,0,2,0,0,0,0,63,0,47,3,19,0,0,1,0,0,0,1,0,1,0,0,3,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,true
1,251,84,1.365079,7767.5,893136,0.22666,0.16902,3796.482422,0.378512,1,0,8,1,1,0,16,0,0,1,7,0,0,0,0,0,0,27,0,16,1,14,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,463,210,10.54131,314,893007,0.226562,0.035288,4209.614746,0.419702,6,0,4,1,1,0,1,0,3,55,6,3,1,0,0,0,0,120,0,20,19,19,0,0,0,40,0,25,0,0,6,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,171,0,0,0,0,0,22,0,0,0,0,0,0,0,0,11,0,0,true
4,377,108,1.565996,11000,893053,0.226751,0.192229,5603.505371,0.558673,33,0,3,1,1,2,130,0,11,0,25,4,0,1,0,0,18,60,5,0,0,54,0,0,2,12,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,true
1,199,64,41.666668,3.5,891072,0.115933,0.01335,0,0,3,1,2,1,0,0,8,0,0,10,5,0,0,0,0,0,0,32,1,3,4,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
3,202,70,19.117647,110,886988,0.116221,0.0384,433.901184,0.04326,5,0,1,4,0,0,16,0,2,10,5,0,0,1,3,0,0,27,1,3,1,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
