@relation 'liferay-weka.filters.unsupervised.attribute.Remove-V-R10,14,88,115,119,123,161,189,233-234,262,268,318,383,398,544,558-559,574,578,588,601,676,678,717,888,917,1025,1029,1040,1095,1487,1610,1613,1628,1646,1681,1711,1729,2384,2696,3234,4080,4126,4179,4181,5864,5909,5977,6153,6291,6619,6693,6707-6708,7204,8991,9090,9505,9942,10463,10627,11108,12695,16435,22385'

@attribute CountDeclClassMethod numeric
@attribute CountDeclInstanceVariable numeric
@attribute s17 numeric
@attribute s44 numeric
@attribute s48 numeric
@attribute s52 numeric
@attribute s90 numeric
@attribute s118 numeric
@attribute s162 numeric
@attribute s163 numeric
@attribute s191 numeric
@attribute s197 numeric
@attribute s247 numeric
@attribute s312 numeric
@attribute s327 numeric
@attribute s473 numeric
@attribute s487 numeric
@attribute s488 numeric
@attribute s503 numeric
@attribute s507 numeric
@attribute s517 numeric
@attribute s530 numeric
@attribute s605 numeric
@attribute s607 numeric
@attribute s646 numeric
@attribute s817 numeric
@attribute s846 numeric
@attribute s954 numeric
@attribute s958 numeric
@attribute s969 numeric
@attribute s1024 numeric
@attribute s1416 numeric
@attribute s1539 numeric
@attribute s1542 numeric
@attribute s1557 numeric
@attribute s1575 numeric
@attribute s1610 numeric
@attribute s1640 numeric
@attribute s1658 numeric
@attribute s2313 numeric
@attribute s2625 numeric
@attribute s3163 numeric
@attribute s4009 numeric
@attribute s4055 numeric
@attribute s4108 numeric
@attribute s4110 numeric
@attribute s5793 numeric
@attribute s5838 numeric
@attribute s5906 numeric
@attribute s6082 numeric
@attribute s6220 numeric
@attribute s6548 numeric
@attribute s6622 numeric
@attribute s6636 numeric
@attribute s6637 numeric
@attribute s7133 numeric
@attribute s8920 numeric
@attribute s9019 numeric
@attribute s9434 numeric
@attribute s9871 numeric
@attribute s10392 numeric
@attribute s10556 numeric
@attribute s11037 numeric
@attribute s12624 numeric
@attribute s16364 numeric
@attribute change_prone {false,true}

@data
0,0,1,2,411,0,0,0,0,0,1,0,0,0,2,6,1,10,0,0,0,1,0,0,0,0,0,0,371,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,8,0,5,1,1,0,0,0,0,0,0,0,0,0,11,1,15,0,5,42,5,4,1,2,0,0,0,1,0,6,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,1,2,251,0,0,0,0,0,1,0,0,0,2,6,1,4,0,0,0,1,0,0,0,0,0,0,211,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,11,0,4,1,1,0,0,0,0,0,0,0,0,0,12,1,39,0,3,52,4,7,1,2,0,0,0,1,0,5,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,1,1,371,0,0,0,0,0,1,0,0,0,2,6,1,12,0,0,0,1,0,0,0,0,0,0,331,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,15,0,11,1,1,0,0,0,0,0,0,0,0,0,19,1,59,0,5,84,5,13,1,2,0,0,0,1,0,6,0,0,0,7,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,1,2,611,0,0,0,0,0,1,0,0,0,2,10,1,16,0,0,0,1,0,0,0,0,0,0,571,14,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,7,0,10,0,1,0,0,0,0,0,0,0,0,0,11,1,23,0,5,45,4,5,1,4,0,0,0,0,0,6,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,1,1,4,0,0,0,0,0,1,0,0,0,2,6,1,4,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,10,0,11,0,1,0,0,0,0,0,0,0,0,0,15,1,27,0,6,64,4,9,1,2,0,0,0,0,0,6,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,1,2,4,0,0,0,0,0,1,0,0,0,2,8,1,6,0,0,0,1,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
22,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,1,9,24,3,127,7,0,24,19,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,1,12,391,5,0,0,0,0,0,0,0,0,6,6,1,4,0,3,18,29,0,0,0,0,0,0,281,14,7,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,41,0,19,201,5,0,128,0,0,0,0,0,0,0,10,1,66,20,0,99,30,45,0,20,0,0,0,1,0,13,0,0,16,9,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,true
23,0,1,12,381,5,0,0,0,0,0,0,0,0,6,6,1,4,0,4,4,21,0,0,1,0,0,0,271,14,7,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,1,12,391,5,0,0,0,0,0,0,0,0,6,6,1,4,0,3,18,29,0,0,0,0,0,0,281,14,7,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,41,0,19,201,5,0,128,0,0,0,0,0,0,0,10,1,66,20,0,99,30,45,0,20,0,0,0,1,0,13,0,0,16,9,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,true
23,0,1,12,381,5,0,0,0,0,0,0,0,0,6,6,1,4,0,4,4,21,0,0,1,0,0,0,271,14,7,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,1,13,391,5,0,0,0,0,0,0,0,0,6,7,1,4,0,3,20,29,0,0,0,0,0,0,281,14,7,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,43,0,21,211,5,0,134,0,0,0,0,0,0,0,12,1,69,21,0,104,30,47,0,21,0,0,0,1,0,13,0,0,16,9,0,0,0,0,21,0,0,0,0,3,3,0,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,true
24,0,1,13,381,5,0,0,0,0,0,0,0,0,6,7,1,4,0,4,4,21,0,0,1,0,0,0,271,14,7,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,1,43,391,11,0,0,0,0,0,0,0,0,6,23,1,25,0,3,52,35,0,0,0,0,0,0,281,14,25,0,0,14,28,0,0,0,4,0,0,0,0,0,0,0,23,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,true
0,77,0,81,381,11,0,248,0,0,0,0,0,0,0,44,1,162,38,0,187,48,87,0,38,0,0,0,1,0,43,0,0,16,51,0,0,0,8,38,3,0,0,0,3,3,0,0,0,2,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,true
41,0,1,43,381,11,0,0,0,0,0,0,0,0,6,23,1,25,0,4,4,27,0,0,1,0,0,0,271,14,25,0,0,14,28,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,false
0,0,1,14,11,7,0,0,0,0,0,0,0,0,6,6,1,6,0,3,20,31,0,0,0,0,0,0,0,14,7,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,45,0,23,22,7,0,144,0,0,0,0,0,0,0,10,1,76,22,0,107,36,51,0,22,0,0,0,0,0,13,0,0,16,13,0,0,0,0,22,0,0,0,0,3,3,0,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,true
25,0,1,14,11,7,0,0,0,0,0,0,0,0,6,6,1,6,0,4,4,23,0,0,1,0,0,0,0,14,7,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,1,24,11,8,0,0,0,0,0,0,0,0,6,12,1,12,0,3,34,32,0,0,0,0,0,0,0,14,16,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,59,0,43,29,8,0,188,0,0,0,0,0,0,0,22,1,109,29,0,144,39,66,0,29,0,0,0,0,0,28,0,0,16,25,0,0,0,0,29,3,0,0,0,3,3,0,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,true
32,0,1,24,11,8,0,0,0,0,0,0,0,0,6,12,1,12,0,4,4,24,0,0,1,0,0,0,0,14,16,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,2,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,16,37,1571,12,0,0,0,0,0,0,0,0,18,17,1,20,0,8,0,35,0,0,0,0,0,0,1251,35,20,0,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
52,0,16,38,1581,12,0,0,0,0,0,0,0,0,18,18,1,20,0,9,1,39,0,0,1,0,0,0,1241,35,28,0,0,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
