@relation 'eclipse-weka.filters.unsupervised.attribute.Remove-V-R10,19,83,142,157,247,260,262,265,477,552,726,770,807,827,888,1013,1165,1168,1268,1270,1307,1315,1343,1386,1516,1561,1587,1622,1761,1785,1801,2201,2217,2220,2226,2244,2319,2353,2363,2369,2403,2716,2789,2924,3526,3865,4158-4159,4277,5422,5859,5881,6130,6193,6213,6739,7516,7591,7670,7923,8554,8895,10811,12688,12826,13017,14002,14085,14120,14325,14585,14983,16660,16734,17791,19427,22482,22548,25904,26224,28950,34811,34934'

@attribute CountDeclClassMethod numeric
@attribute CountDeclMethodPublic numeric
@attribute s12 numeric
@attribute s71 numeric
@attribute s86 numeric
@attribute s176 numeric
@attribute s189 numeric
@attribute s191 numeric
@attribute s194 numeric
@attribute s406 numeric
@attribute s481 numeric
@attribute s655 numeric
@attribute s699 numeric
@attribute s736 numeric
@attribute s756 numeric
@attribute s817 numeric
@attribute s942 numeric
@attribute s1094 numeric
@attribute s1097 numeric
@attribute s1197 numeric
@attribute s1199 numeric
@attribute s1236 numeric
@attribute s1244 numeric
@attribute s1272 numeric
@attribute s1315 numeric
@attribute s1445 numeric
@attribute s1490 numeric
@attribute s1516 numeric
@attribute s1551 numeric
@attribute s1690 numeric
@attribute s1714 numeric
@attribute s1730 numeric
@attribute s2130 numeric
@attribute s2146 numeric
@attribute s2149 numeric
@attribute s2155 numeric
@attribute s2173 numeric
@attribute s2248 numeric
@attribute s2282 numeric
@attribute s2292 numeric
@attribute s2298 numeric
@attribute s2332 numeric
@attribute s2645 numeric
@attribute s2718 numeric
@attribute s2853 numeric
@attribute s3455 numeric
@attribute s3794 numeric
@attribute s4087 numeric
@attribute s4088 numeric
@attribute s4206 numeric
@attribute s5351 numeric
@attribute s5788 numeric
@attribute s5810 numeric
@attribute s6059 numeric
@attribute s6122 numeric
@attribute s6142 numeric
@attribute s6668 numeric
@attribute s7445 numeric
@attribute s7520 numeric
@attribute s7599 numeric
@attribute s7852 numeric
@attribute s8483 numeric
@attribute s8824 numeric
@attribute s10740 numeric
@attribute s12617 numeric
@attribute s12755 numeric
@attribute s12946 numeric
@attribute s13931 numeric
@attribute s14014 numeric
@attribute s14049 numeric
@attribute s14254 numeric
@attribute s14514 numeric
@attribute s14912 numeric
@attribute s16589 numeric
@attribute s16663 numeric
@attribute s17720 numeric
@attribute s19356 numeric
@attribute s22411 numeric
@attribute s22477 numeric
@attribute s25833 numeric
@attribute s26153 numeric
@attribute s28879 numeric
@attribute s34740 numeric
@attribute change_prone {false,true}

@data
0,8,25,1,0,2,0,12,39,19,0,0,0,12,39,0,1,0,0,0,0,0,0,1,2,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,true
0,7,6,1,0,0,0,6,5,5,0,0,0,1,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,6,12,3,0,1,5,3,4,0,0,0,1,7,19,0,0,0,0,0,7,0,0,0,0,9,0,0,0,9,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
13,38,46,34,1,2,19,5,13,0,0,0,4,7,60,0,11,9,0,0,0,0,0,2,0,11,0,0,2,0,0,1,0,0,0,0,0,26,6,0,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,true
11,39,101,4,0,10,7,32,94,0,0,0,16,33,95,0,2,2,0,0,55,0,0,0,16,11,0,1,5,0,11,0,0,0,0,0,0,24,2,0,2,24,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,true
0,2,15,2,0,1,0,0,8,0,1,0,0,1,18,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,true
3,52,181,3,0,35,2,77,509,0,14,0,4,79,241,0,1,0,0,0,133,0,0,0,2,10,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
5,308,89,21,17,1,15,17,139,8,8,0,0,7,248,1,1,3,0,0,10,0,0,1,4,25,0,0,69,48,3,19,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,true
0,35,218,10,2,5,7,64,202,6,28,1,0,98,322,0,2,0,21,0,4,0,0,0,2,10,1,0,3,0,0,3,1,0,0,0,0,0,0,0,9,0,1,2,0,0,12,0,0,0,0,0,2,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,20,63,3,0,0,0,7,55,1,25,0,0,55,82,0,7,0,0,0,8,0,0,0,2,5,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
1,15,6,5,2,0,3,27,19,0,0,0,0,6,38,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,37,89,1,0,23,2,21,63,3,1,0,0,37,34,0,0,0,0,0,54,0,1,0,12,0,0,2,4,0,0,1,0,0,1,0,0,1,0,0,21,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
140,116,139,7,8,21,5,44,322,0,3,0,16,48,285,4,1,2,0,0,26,0,3,0,18,4,0,0,49,5,25,0,0,0,2,3,0,0,0,0,7,0,0,3,0,0,0,0,2,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,11,4,2,0,2,1,5,10,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,false
0,29,2,5,0,3,5,17,52,0,1,0,0,30,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,13,7,1,12,0,0,9,22,0,2,1,0,5,53,0,0,0,0,0,12,0,0,0,0,4,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
2,54,34,6,12,1,4,19,73,0,2,0,0,14,72,2,0,1,4,0,0,0,0,0,0,1,0,0,0,39,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,false
5,37,100,3,0,10,2,25,121,0,1,0,1,35,73,0,0,0,0,0,18,0,0,0,19,4,0,1,0,0,0,0,0,0,3,0,0,3,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,10,3,1,0,0,0,4,6,0,1,0,0,9,11,0,0,0,0,0,2,0,0,0,0,5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,1,10,45,5,0,14,23,4,0,4,0,11,13,29,10,0,24,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,0,0,0,0,0,3,5,0,0,0,0,0,6,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
1,17,59,1,0,0,0,4,33,0,0,0,0,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,10,35,2,1,6,4,16,30,0,1,0,0,18,37,0,0,0,0,0,1,0,0,0,0,5,0,2,5,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
1,6,24,5,0,14,0,1,27,0,0,0,0,2,71,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
5,52,8,1,0,0,2,29,27,0,0,0,6,32,21,2,3,0,0,0,1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,16,19,2,0,1,7,8,30,0,0,0,1,9,24,0,0,1,0,0,5,0,0,0,3,30,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,11,58,4,0,1361,8,14,23,4,1,1,4,12,83,0,0,3,0,0,11,0,0,0,0,7,0,0,0,8,5,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,6,11,1,0,4,1,4,29,0,0,0,0,5,19,0,0,1,0,0,3,0,0,0,1,23,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
1,21,48,14,3,11,10,12,15,40,0,1,6,16,47,6,1,6,0,0,8,0,0,0,0,18,0,2,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,9,34,2,0,0,0,12,9,0,0,0,0,2,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,18,8,3,4,2,6,23,46,0,2,1,3,15,32,1,0,0,0,0,2,0,0,0,0,11,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,10,11,4,2,1,3,10,28,0,0,1,0,15,15,0,0,1,0,0,0,0,0,0,0,5,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,14,8,4,2,4,2,10,19,0,0,0,0,11,42,0,1,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,28,10,2,9,3,0,14,26,0,1,0,0,7,43,0,0,0,0,0,5,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,11,5,3,0,2,1,5,7,0,0,0,0,7,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,35,84,6,7,14,2,25,79,1,1,0,0,51,100,3,1,1,0,0,15,0,0,0,7,6,0,0,2,3,2,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,10,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,10,0,3,0,1,0,15,112,0,0,0,0,2,17,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,14,14,13,0,2,2,9,30,0,4,0,0,12,12,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,1,true
0,27,27,1,0,0,8,5,42,0,0,0,1,20,26,1,0,0,0,0,45,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,5,11,2,0,1,0,1,30,0,1,0,0,0,17,0,0,1,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,13,116,2,0,12,3,7,10,0,2,0,1,5,19,0,0,0,0,0,29,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,9,37,101,1,4,0,22,52,0,0,0,0,17,71,0,0,1,0,0,2,0,0,0,2,123,0,0,0,13,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,2,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,26,5,3,0,0,4,21,33,0,2,0,0,8,14,0,0,0,0,0,0,0,0,0,0,4,0,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
7,34,60,4,6,1,30,127,101,1,1,15,0,19,46,8,0,9,12,0,22,0,0,0,8,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,true
0,38,13,1,0,10,2,12,74,0,0,0,0,6,62,0,0,3,0,0,1,0,0,0,2,13,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,8,0,5,0,0,3,3,7,0,0,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,3,9,1,0,3,0,1,7,0,0,0,0,1,7,0,0,0,0,0,19,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
1,14,119,2,19,0,2,5,19,0,2,0,2,2,14,0,0,1,0,0,0,0,0,0,0,10,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,false
13,26,18,1,12,4,5,19,82,0,42,0,1,12,163,0,0,1,3,0,13,0,0,0,2,96,0,0,1,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,false
0,18,24,6,1,19,4,62,92,0,5,1,3,35,82,6,0,0,0,0,20,4,1,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
3,9,10,1,0,54,0,225,6,298,0,0,0,206,51,0,0,0,0,0,2,0,0,0,20,3,0,0,0,0,4,0,2,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,true
39,39,79,15,1,13,1,14,85,1,1,0,0,24,119,2,1,0,6,0,16,0,12,0,9,17,0,0,53,8,0,0,1,0,13,2,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,true
0,3,53,6,0,12,3,13,269,0,1,0,1,8,17,2,0,1,0,0,30,0,0,0,0,0,0,0,0,46,1,1,1,0,1,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,5,2,3,0,0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,59,36,3,0,12,0,27,178,0,0,0,0,4,44,0,0,0,1,0,11,0,0,0,2,10,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,20,13,1,0,0,0,7,63,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,6,2,3,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
10,119,148,8,4,44,8,62,240,16,1,1,4,85,74,0,3,2,0,0,36,0,0,0,5,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,13,0,1,0,0,2,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
2,48,74,2,0,2,1,28,129,0,82,0,51,14,139,1,1,0,0,0,51,125,0,0,1,335,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,true
0,26,21,1,0,4,0,13,25,5,9,0,0,8,85,0,0,2,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
13,13,23,14,0,9,8,16,25,33,5,0,0,10,17,0,0,0,0,0,2,0,6,0,0,0,3,0,0,0,3,0,0,6,3,2,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,false
0,0,0,7,0,0,17,2,2,0,0,0,0,2,7,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,1,3,3,0,0,4,8,0,0,0,0,9,2,17,0,0,0,0,1,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,31,31,11,0,12,2,13,67,5,0,0,1,15,20,0,0,0,0,1,5,0,0,0,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
1,45,54,4,0,14,0,13,90,0,0,0,2,11,30,1,0,0,0,3,10,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,32,48,10,3,4,5,24,98,0,1,0,0,17,56,2,4,1,0,0,8,13,0,1,5,4,0,1,0,16,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,0,94,2,0,13,4,6,25,0,2,0,0,2,186,0,0,0,0,0,31,0,0,0,0,10,0,3,2,0,3,0,0,0,1,0,0,0,0,0,20,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,7,0,1,0,1,0,2,5,0,0,0,2,2,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
3,14,18,1,4,2,2,5,73,0,0,0,0,4,22,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
4,85,241,3,12,29,7,20,312,3,14,0,0,29,541,1,0,0,7,0,11,0,0,0,3,59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,33,50,1,0,7,1,25,88,0,28,0,0,28,147,0,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,14,9,1,0,0,0,1,18,0,0,0,0,3,33,0,0,0,0,0,3,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,29,8,2,0,1,7,21,62,0,4,0,0,10,46,0,0,0,0,0,0,0,0,0,0,4,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
